name,rating,review_text,aspect1,aspect2,aspect3,idx,mecab_token,komoran_token,okt_token
배혜정도가,1,재구매 저번에 샀을 때도 2개인가 개봉돼 서 왔는데 그냥 찾기 귀찮아서 재구매 했는데 이번엔 3개가 뜯어져서 오네요 반품 상품 보내는 거 같아요 먹는 거인데 개봉이 돼서 온다는 게 이해가 안 가는데 귀찮아서 그냥 쓰는데 여기 거 가지 마세요 저도 안 살 겁니다,package,,,151735,"['재', '구매', '저번', '샀', '때', '2', '개', '인가', '개봉', '돼', '서', '왔', '그냥', '찾', '귀찮', '재', '구매', '했', '이번', '엔', '3', '개', '뜯', '져서', '오', '반품', '상품', '보내', '거', '같', '먹', '거', '인데', '개봉', '돼서', '온다는', '게', '이해', '안', '가', '데', '귀찮', '그냥', '쓰', '여기', '거', '가', '마세요', '저', '안', '살', '겁니다']","['재', '구매', '저번', '사', '때', '2', '개', '이', '개봉', '서', '오', '그냥', '찾', '귀찮', '재', '구매', '하', '이번', '3', '개', '뜯', '지', '오', '반품', '상품', '보내', '거', '같', '먹', '거', '이', '개봉', '되', '오', '게', '이해', '안', '가', '귀찮', '그냥', '쓰', '여기', '거', '가지', '마', '세', '저', '안', '살', '겁', '니다']","['재구매', '저번', '에', '샀을', '때', '도', '2', '개인', '가', '개봉', '돼', '서', '왔는데', '그냥', '찾기', '귀찮아서', '재구매', '했는데', '이번', '엔', '3', '개', '가', '뜯어져서', '오네요', '반품', '상품', '보내는', '거', '같아요', '먹는', '거', '인데', '개봉', '이', '돼서', '온다는', '게', '이해', '가', '안', '가는데', '귀찮아서', '그냥', '쓰는데', '여기', '거', '가지', '마세요', '저', '도', '안', '살', '겁니다']"
배상면주가 고창LB,3,한 달 사용기 아주 옛날에 배상면주가 갔다가 사서 먹고 생각나서 구매했는데 요즘은 맛있는 게 ㅜ 많아서 그런 가 옛 날 느낌은 없지만 가끔 레드 스파클링 같은 느낌이라 좋아요,specific_flavor_smell,,,63824,"['한', '달', '사용', '아주', '옛날', '배상', '면주', '갔', '사', '먹', '생각나', '구매', '했', '요즘', '맛있', '게', '많', '그런', '가', '옛', '날', '느낌', '없', '가끔', '레드', '스파클', '같', '느낌', '이', '좋']","['한', '달', '사용', '이', '아주', '옛날', '배상면', '주가', '가', '사서', '먹', '생각나', '구매', '요즘', '맛있', '게', '많', '그런', '가', '옛', '날', '느낌', '없', '가끔', '레드', '스파크', '링', '같', '느낌', '이', '좋']","['한', '달', '사', '용기', '아주', '옛날', '에', '배상면', '주가', '갔다가', '사서', '먹고', '생각나서', '구매', '했는데', '요즘', '은', '맛있는', '게', '많아서', '그런', '가', '옛', '날', '느낌', '은', '없지만', '가끔', '레드', '스파클링', '같은', '느낌', '이라', '좋아요']"
용두산조은술,1,전에는 냉장고에 몇 칠 만 두어도 탄산이 넘쳐서 맛났는데 오랜만에 시킨 건 베란다에 두어도 냉장고에 두어도 발효가 안 된다,specific_flavor_smell,,,169229,"['전', '냉장고', '몇', '칠', '만', '두', '어도', '탄산', '넘쳐서', '맛', '났', '오랜만', '시킨', '건', '베란다', '두', '냉장고', '두', '발효', '안', '된다']","['전', '냉장고', '몇', '치', '만', '두', '탄산', '넘치', '맛', '나', '오랜만', '시키', '건', '베란다', '두', '냉장고', '두', '발효', '안', '되']","['전', '에는', '냉장고', '에', '몇', '칠', '만', '두', '어도', '탄산', '이', '넘쳐서', '맛', '났는데', '오랜', '만', '에', '시킨', '건', '베란다', '에', '두', '어도', '냉장고', '에', '두', '어도', '발효', '가', '안', '된다']"
고창선운산복분자주,5,항상 시켜 먹는 거예ㅎ 이번엔 가족들이 다 놀러 와서 금방 다 먹어버렸네요 숙취가 적고 다음날 머리가 안 아파서 이것만 마십니다 그래서 오늘 또 시키네요 ㅎㅎ 번창하세요,abstract_flavor_smell,,,74239,"['항상', '시켜', '먹', '거', '이번', '엔', '가족', '다', '놀', '와서', '금방', '다', '먹', '버렸', '숙취', '적', '다음', '날', '머리', '안', '아파서', '이것', '마십니다', '오늘', '또', '시키', '번창', '세요']","['항상', '시키', '먹', '이번', '가족', '다', '놀', '오', '금방', '다', '먹', '버리', '숙취', '적', '다음날', '머리', '안', '아파서', '이것', '마시', '오늘', '시키', '번창']","['항상', '시켜', '먹는', '거예', '이번', '엔', '가족', '들', '이', '다', '놀러', '와서', '금방', '다', '먹어', '버렸네요', '숙취', '가', '적고', '다음', '날', '머리', '가', '안', '아파서', '이', '것', '만', '마십니다', '그래서', '오늘', '또', '시키네요', '번창', '하세요']"
유청길명인 부산금정산성막걸리,2,재구매 지난번 10병 6병 구매 후 만족도가 좋아서 10병 다시 구매했습니다 지난번 하고 맛이 다릅니다 발송일 전 일에 제조된 것이었는데도 지난번보다 훨씬 시큼한 맛이 더 납니다 지난번에는 구매 후 7일 이상 지나니까 시큼한 맛이 강해졌습니다 막걸리라서 매번 제조할 때마다 바뀌는 건지 맛의 기준을 모르겠어요,specific_flavor_smell,,,142978,"['재', '구매', '지난번', '10', '병', '6', '병', '구매', '후', '만족도', '좋', '10', '병', '다시', '구매', '했', '지난번', '하', '맛', '다릅니다', '발송', '일', '전', '일', '제조', '된', '것', '이', '지난번', '훨씬', '시큼', '한', '맛', '더', '납니다', '지난번', '구매', '후', '7', '일', '이상', '지나', '시큼', '한', '맛', '강해졌', '막걸리', '라서', '매번', '제조', '할', '때', '바뀌', '건지', '맛', '기준', '모르']","['재', '구매', '지난번', '10', '병', '6', '병', '구매', '후', '만족도', '좋아서', '10', '병', '다시', '구매', '지난번', '하', '맛', '다르', '발송', '이', '전', '일', '제조', '것', '이', '지난번', '훨씬', '시큼', '맛', '더', '나', '지난번', '구매', '후', '7', '일', '이상', '지나', '시큼', '맛', '강하', '지', '막걸리', '이', '매번', '제조', '때', '바뀌', '걸', '맛', '기준', '모르']","['재구매', '지난번', '10', '병', '6', '병', '구매', '후', '만족도', '가', '좋아서', '10', '병', '다시', '구매', '했습니다', '지난번', '하고', '맛', '이', '다릅니다', '발송', '일', '전', '일', '에', '제조', '된', '것', '이었는데도', '지난번', '보다', '훨씬', '시큼한', '맛', '이', '더', '납니다', '지난번', '에는', '구매', '후', '7일', '이상', '지나', '니까', '시큼한', '맛', '이', '강해졌습니다', '막걸리', '라서', '매번', '제조', '할', '때', '마다', '바뀌는', '건지', '맛', '의', '기준', '을', '모르겠어요']"
복순도가,3,포장도 잘 돼 있고 너무 좋았어요,package,,,42783,"['포장', '잘', '돼', '있', '너무', '좋']","['포장', '잘', '되', '있', '너무', '좋']","['포장', '도', '잘', '돼', '있고', '너무', '좋았어요']"
어떤하루 by녹동양조장,5,한 달 사용기목 넘김 부드럽고 맛있어요,abstract_flavor_smell,,,106404,"['한', '달', '사', '용기', '목', '넘김', '부드럽', '맛있']","['한', '달', '사용', '기', '목', '넘기', '부드럽', '맛있']","['한', '달', '사용', '기', '목', '넘김', '부드럽고', '맛있어요']"
복순도가,5,탄산이 톡톡 이렇게 신선한 막걸리가 있다니 인생 막걸리에요,specific_flavor_smell,,,40522,"['탄산', '톡톡', '이렇게', '신선', '한', '막걸리', '있', '인생', '막걸리']","['탄산', '톡톡', '이렇', '신선', '막걸리', '있', '인생', '막걸리']","['탄산', '이', '톡톡', '이렇게', '신선한', '막걸리', '가', '있다니', '인생', '막걸리', '에요']"
용두산조은술,4,한 달 사용기 조금 센 감이 있지만 좋네요,package,,,218089,"['한', '달', '사용', '조금', '센', '감', '있', '좋']","['한', '달', '사용', '이', '조금', '세', '감', '있', '좋']","['한', '달', '사', '용기', '조금', '센', '감', '이', '있지만', '좋네요']"
댄싱사이더 컴퍼니,2,생각보다 별로였어요 한 가지만 입맛에 맞아요,abstract_flavor_smell,,,204998,"['생각', '별로', '였', '한', '가지', '입맛', '맞']","['생각', '별로', '이', '한', '가', '입맛', '맞']","['생각', '보다', '별로', '였어요', '한', '가지', '만', '입맛', '에', '맞아요']"
김포금쌀탁주,5,재구매 말하면 뭐 해요 계속 주문하고 있어요 빠른 배송도 감사합니다,delivery,,,184526,"['재', '구매', '말', '해요', '계속', '주문', '있', '빠른', '배송', '감사', '합니다']","['재', '구매', '말', '뭐', '하', '계속', '주문', '있', '빠르', '배', '송도', '감사']","['재구매', '말', '하면', '뭐', '해', '요', '계속', '주문', '하고', '있어요', '빠른', '배송', '도', '감사합니다']"
배상면주가 고창LB,2,친구에게 선물하려고 주문했는데 배송 지연으로 좀 불만이 있었지만 늦게라도 배송되어서 다행이에요,delivery,,,66121,"['친구', '선물', '주문', '했', '배송', '지연', '좀', '불만', '있', '늦', '배송', '다행', '이']","['친구', '선물', '주문', '배', '송', '지연', '좀', '불만', '있', '늦', '배', '송', '다행', '이']","['친구', '에게', '선물', '하려고', '주문', '했는데', '배송', '지연', '으로', '좀', '불만', '이', '있었지만', '늦게라도', '배송', '되어서', '다행', '이에요']"
복순도가,2,지인 추천받아서 비도 오고 해서 3병 구매하였는데 한 잔 먹고 시큼하고 따뜻해질수록 신맛이 너무 올라와 2잔 먹고 지인 나눔 했어요 비싼 막걸리라 맛날 줄 알았는데 많이 아쉽네요 더 보기,specific_flavor_smell,price,,9993,"['지인', '추천', '받', '비', '오', '해서', '3', '병', '구매', '한', '잔', '먹', '시큼', '따뜻', '해질수록', '신맛', '너무', '올라와', '2', '잔', '먹', '지인', '나눔', '했', '비싼', '막걸리', '라', '맛', '날', '줄', '알', '많이', '아쉽', '더', '보']","['지인', '추천', '받', '비도', '오', '하', '3', '병', '구매', '한', '자', '먹', '시큼', '따뜻', '지', '신', '맛', '너무', '올라오', '2', '잔', '먹', '지인', '나누', '하', '비싸', '막걸리', '이', '맛나', '주', '알', '많이', '아쉽', '더', '보']","['지인', '추천', '받아서', '비도', '오고', '해서', '3', '병', '구매', '하였는데', '한', '잔', '먹고', '시큼하고', '따뜻해질', '수록', '신맛', '이', '너무', '올라와', '2', '잔', '먹고', '지인', '나눔', '했어요', '비싼', '막걸리', '라', '맛날', '줄', '알았는데', '많이', '아쉽네요', '더', '보기']"
고창선운산복분자주,3,한 달 사용기 농도와 맛이 기대했던 것보다 개인 취향도 있겠지만 다소 부족하지 않은가 싶습니다,abstract_flavor_smell,,,73858,"['한', '달', '사', '용기', '농도', '맛', '기대', '했', '것', '개인', '취향', '있', '다소', '부족', '않', '싶']","['한', '달', '사용', '이', '농도', '맛', '기대', '것', '개인', '취향', '있', '다소', '부족', '않', '싶']","['한', '달', '사', '용기', '농도', '와', '맛', '이', '기대했던', '것', '보다', '개인', '취향', '도', '있겠지만', '다소', '부족하지', '않은가', '싶습니다']"
복순도가,4,재구매 의사 있을 정도로 괜찮습니다,none,,,46316,"['재', '구매', '의사', '있', '정도', '괜찮']","['재', '구매', '의사', '있', '정도', '괜찮']","['재구매', '의사', '있을', '정도', '로', '괜찮습니다']"
배상면주가 포천LB,1,맛이 없어요 텁텁해요,abstract_flavor_smell,,,86574,"['맛', '없', '텁텁', '해요']","['맛', '없', '텁텁']","['맛', '이', '없어요', '텁텁해', '요']"
복순도가,1,한 달 사용기 재 구매 탄 산세다는 후기를 봤었는데 폭발할 줄은 몰랐네요 유통기한이 지난 것도 아닌데 터진 병뚜껑에 맞아서 얼굴에 상처 났습니다 빗겨 맞았어도 기본 상처인데 제대로 맞으면 실명이나 뼈가 다칠 것 같아요 부모님이나 소중한 사람에게 선물했으면 정말 두고두고 후회했을 뻔했네요,none,,,1946,"['한', '달', '사용', '재', '구매', '탄', '산세', '다는', '후기', '봤었', '폭발', '할', '줄', '몰랐', '유통', '기한', '지난', '것', '아닌데', '터진', '병뚜껑', '맞', '얼굴', '상처', '났', '빗겨', '맞', '기본', '상처', '인데', '제대로', '맞', '실명', '뼈', '다칠', '것', '같', '부모', '소중', '한', '사람', '선물', '했', '정말', '두고두고', '후회', '했을', '뻔했']","['한', '달', '사용', '이', '재', '구매', '타', '산', '세', '후기', '보', '폭발', '줄', '모르', '유통기한', '지나', '것', '아니', '터지', '병뚜껑', '맞', '얼굴', '상처', '나', '빗기', '맞', '기본', '상처', '이', '제대로', '맞', '실명', '뼈', '다치', '것', '같', '부모', '소중', '사람', '선물', '정말', '두고두고', '후회', '뻔']","['한', '달', '사', '용기', '재', '구매', '탄', '산세다는', '후기', '를', '봤었는데', '폭발', '할', '줄', '은', '몰랐네요', '유통', '기한', '이', '지난', '것', '도', '아닌데', '터진', '병뚜껑', '에', '맞아서', '얼굴', '에', '상처', '났습니다', '빗겨', '맞았어도', '기본', '상처', '인데', '제대로', '맞으면', '실명', '이나', '뼈', '가', '다칠', '것', '같아요', '부모님', '이나', '소중한', '사람', '에게', '선물', '했으면', '정말', '두고두고', '후회', '했을', '뻔했네요']"
1932포천일동막걸리,1,막걸리의 쏘는 맛이 하나도 없네요 호불호 갈리는 맛 엄청 달 고유어 같음,specific_flavor_smell,abstract_flavor_smell,,93247,"['막걸리', '쏘', '맛', '하나', '없', '호불호', '갈리', '맛', '엄청', '달', '고유어', '같']","['막걸리', '쏘', '맛', '하나', '없', '호', '불', '호', '갈리', '맛', '엄청', '달', '고유어', '같']","['막걸리', '의', '쏘는', '맛', '이', '하나', '도', '없네요', '호불호', '갈리는', '맛', '엄청', '달', '고유어', '같음']"
술샘,2,회사 직원이 요새 핫하고 맛있다고 해서 듣자마자 바로 구매했습니다 배송은 2일 정도 걸렸고 배송받고 그 다음날 바로 시음 비주얼도 좋고 기대하고 한 모금을 또 음미하면서 한 모금 내가 이 맛있는 술을 못 느끼나 또한 모금 이 쉐이 죽었어 오늘은 금요일 바로 톡 보내고 싶었지만 참고 월요일에 욕 한 바가지 할 예정 표현하자면 빛 좋은 개살구 기대하지 마세요 저는 아직 1병 마셨는 걸로 남은 3병이 있답니다 유통기한이 제조 일로부터부터 1달 배송받았는데 남은 기한은 3주 마셔야겠죠 사이다를 타서 마셔 볼게요 더 보기,abstract_flavor_smell,,,136432,"['회사', '직원', '요새', '핫', '맛있', '해서', '듣', '바로', '구매', '했', '배송', '2', '일', '정도', '걸렸', '배송', '받', '그', '다음', '날', '바로', '시음', '비주얼', '좋', '기대', '한', '모금', '또', '음미', '한', '모금', '내', '이', '맛있', '술', '못', '느끼', '또', '한', '모금', '이', '쉐', '죽', '오늘', '금요일', '바로', '톡', '보내', '싶', '참고', '월요일', '욕', '한', '바가지', '할', '예정', '표현', '빛', '좋', '개살구', '기대', '마세요', '저', '아직', '1', '병', '마셨', '걸로', '남', '3', '병', '있', '유통', '기한', '제조', '일', '1', '달', '배송', '받', '남', '기한', '3', '주', '마셔야', '겠죠', '사이다', '타', '마셔', '볼게요', '더', '보']","['회사', '직원', '요새', '핫', '맛있', '하', '듣', '바로', '구매', '배', '송', '2', '일', '정도', '걸리', '배', '송', '받', '그', '다음날', '바로', '시음', '비주얼', '좋', '기대', '한', '모금', '음미', '한', '모금', '내', '이', '맛있', '술', '못', '느끼', '모금', '이', '죽', '오늘', '금요일', '바로', '톡', '보내', '싶', '참', '월요일', '욕', '한', '바가지', '하', '예정', '표현', '빛', '좋', '개살구', '기대', '마', '세', '저', '아직', '1', '병', '마시', '것', '남은', '3', '병', '있', '유통기한', '제조', '일', '1', '달', '배', '송', '받', '남은', '기한', '3', '주', '마시', '하', '사이다', '타', '마시', '보', '더', '보']","['회사', '직원', '이', '요새', '핫', '하고', '맛있다고', '해서', '듣자마자', '바로', '구매', '했습니다', '배송', '은', '2일', '정도', '걸렸고', '배송', '받고', '그', '다음', '날', '바로', '시', '음', '비주', '얼도', '좋고', '기대하고', '한', '모금', '을', '또', '음미', '하면서', '한', '모금', '내', '가', '이', '맛있는', '술', '을', '못', '느끼나', '또한', '모금', '이', '쉐이', '죽었어', '오늘', '은', '금요일', '바로', '톡', '보내고', '싶었지만', '참고', '월요일', '에', '욕', '한', '바가지', '할', '예정', '표현', '하자면', '빛', '좋은', '개살구', '기대하지', '마세요', '저', '는', '아직', '1', '병', '마셨는', '걸', '로', '남은', '3', '병', '이', '있답니다', '유통', '기한', '이', '제조', '일', '로부터', '부터', '1', '달', '배송', '받았는데', '남은', '기한', '은', '3', '주', '마셔야겠죠', '사이다', '를', '타서', '마셔', '볼게요', '더', '보기']"
꽃잠막걸리,1,호불호가 정말 분명할 막걸리였다 반잔을 채다 마시지 못했다 금정산성 막걸리류의 농주다 취향의 차이일 테니 자신이 선호하는 막걸리 스타일을 정확히 알고 시도해보기 바랍니다,none,,,200172,"['호불호', '정말', '분명', '할', '막걸리', '였', '반잔', '채', '마시', '못했', '금정산성', '막걸리', '농주', '다', '취향', '차이', '일', '테', '자신', '선호', '막걸리', '스타일', '정확히', '알', '시도', '해', '보', '바랍니다']","['호', '불', '호가', '정말', '분명', '막걸리', '이', '반', '잔', '채', '마시', '못하', '금정산성', '막걸리', '농주', '취향', '차이', '이', '테', '이', '자신', '선호', '막걸리', '스타일', '정확히', '알', '시도', '보', '바라']","['호불호', '가', '정말', '분명할', '막걸리', '였다', '반잔', '을', '채다', '마시지', '못', '했다', '금정산성', '막걸리', '류', '의', '농주', '다', '취향', '의', '차이', '일', '테', '니', '자신', '이', '선호', '하는', '막걸리', '스타일', '을', '정확히', '알', '고', '시도', '해보기', '바랍니다']"
배혜정도가,4,재구매 재구매로 가격도 저렴하고 배송도 빨라요,price,delivery,,152646,"['재', '구매', '재', '구매', '가격', '저렴', '배송', '빨라요']","['재', '구매', '재', '구매', '가격', '저렴', '배', '송도', '빠르']","['재구매', '재', '구매', '로', '가격', '도', '저렴하고', '배송', '도', '빨라요']"
레돔LESDOM,1,정말 맛없어요 술을 좋아하는데 이건 다 못 먹고 두병 다 버렸어요 웬만하면 이런 글을 올리진 않는데 아셔야 할 것 같아 남깁니다 탄산은 우선 냄새가 나서 마실 수가 없고 잘못 만들었는지 식초 마시는 거 같은 느낌입니다 홍초를 그냥 마셔도 이거보단 낫겠다 싶을 정도예요,specific_flavor_smell,,,215103,"['정말', '맛없', '술', '좋아하', '이건', '다', '못', '먹', '두병', '다', '버렸', '웬만', '이런', '글', '올리', '진', '않', '데', '아셔야', '할', '것', '같', '남', '깁니다', '탄산', '우선', '냄새', '나', '마실', '수', '없', '잘못', '만들', '식초', '마시', '거', '같', '느낌', '입니다', '홍초', '그냥', '마셔도', '이거', '보단', '낫', '싶', '정도', '예요']","['정말', '맛없', '술', '좋아하', '이건', '다', '못', '먹', '두', '병', '다', '버리', '웬만', '이런', '글', '올', '리진', '않', '하', '것', '같', '남기', '탄산', '우선', '냄새', '나서', '마시', '수', '없', '잘못', '만들', '식초', '마시', '거', '같', '느낌', '이', '홍', '초', '그냥', '마시', '이것', '낫', '싶', '정도', '예']","['정말', '맛없어요', '술', '을', '좋아하는데', '이건', '다', '못', '먹고', '두', '병', '다', '버렸어요', '웬만하면', '이런', '글', '을', '올리진', '않는데', '아셔야', '할', '것', '같아', '남깁니다', '탄산', '은', '우선', '냄새', '가', '나서', '마실', '수가', '없고', '잘못', '만들었는지', '식초', '마시는', '거', '같은', '느낌', '입니다', '홍초', '를', '그냥', '마셔도', '이', '거', '보단', '낫겠다', '싶을', '정도', '예요']"
유청길명인 부산금정산성막걸리,1,아 복 불복인가요 진심 맛이 없어요 ㅜㅜ 장수막걸리 좋아하고 지평도 잘 마시는데 이건 아니에요 ㅠㅠ단맛이 1도 없고 진짜 전통 토종 막걸리 같아요 장 수 좋아하시는 분들은 비추요 단 맛없습니다,specific_flavor_smell,,,142318,"['복', '불복', '인가요', '진심', '맛', '없', '장수', '막걸리', '좋', '하', '지평', '잘', '마시', '이건', '아니', '1', '도', '없', '진짜', '전통', '토종', '막걸리', '같', '장', '수', '좋', '하', '분', '비추', '단', '맛', '없']","['복', '불복', '이', '진심', '맛', '없', '장수', '막걸리', '좋아하', '지평', '잘', '마시', '이건', '아니', '1', '없', '진짜', '전통', '토종', '막걸리', '같', '장', '수', '좋아하', '분', '비추', '단', '맛없']","['아', '복', '불복', '인가요', '진심', '맛', '이', '없어요', '장수', '막걸리', '좋아하고', '지평', '도', '잘', '마시는데', '이건', '아니에요', '단맛', '이', '1', '도', '없고', '진짜', '전통', '토종', '막걸리', '같아요', '장', '수', '좋아하시는', '분', '들', '은', '비추요', '단', '맛없습니다']"
